X:Pos_TX-Body2-rev_clearance_joint_ideal(m),X:Pos_TY-Body2-rev_clearance_joint_ideal(m),X:Pos_TZ-Body2-rev_clearance_joint_ideal(m),X:Vel_TX-Body2-rev_clearance_joint_ideal(m/s),X:Vel_TY-Body2-rev_clearance_joint_ideal(m/s),X:Vel_TZ-Body2-rev_clearance_joint_ideal(m/s),X:Acc_TX-Body2-rev_clearance_joint_ideal(m/s^2),X:Acc_TY-Body2-rev_clearance_joint_ideal(m/s^2),X:Acc_TZ-Body2-rev_clearance_joint_ideal(m/s^2),Y:Pos_TX-Body2-rev_clearance_joint_ideal(m),Y:Pos_TY-Body2-rev_clearance_joint_ideal(m),Y:Pos_TZ-Body2-rev_clearance_joint_ideal(m),Y:Vel_TX-Body2-rev_clearance_joint_ideal(m/s),Y:Vel_TY-Body2-rev_clearance_joint_ideal(m/s),Y:Vel_TZ-Body2-rev_clearance_joint_ideal(m/s),Y:Acc_TX-Body2-rev_clearance_joint_ideal(m/s^2),Y:Acc_TY-Body2-rev_clearance_joint_ideal(m/s^2),Y:Acc_TZ-Body2-rev_clearance_joint_ideal(m/s^2)
0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,0.0021650000,1.6438863e-06,7.0726758e-05,2.6598360,4.1389483e-17,-0.011854104,3.1520828e-07,1.9117359e-14,-5.4753366,9.2762499e-05
0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,0.0022930000,1.6438863e-06,6.9164579e-05,2.6598360,4.3836503e-17,-0.012554947,3.2647036e-07,1.9117326e-14,-5.4753366,8.3115148e-05
0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,0.0024210000,1.6438863e-06,6.7512692e-05,2.6598360,4.6283518e-17,-0.013255790,3.3646212e-07,1.9117290e-14,-5.4753366,7.2913799e-05
0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,0.0025490000,1.6438863e-06,6.5771097e-05,2.6598360,4.8730529e-17,-0.013956633,3.4511266e-07,1.9117253e-14,-5.4753366,6.2158453e-05
0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,0.0026770000,1.6438863e-06,6.3939794e-05,2.6598360,5.1177535e-17,-0.014657476,3.5235105e-07,1.9117213e-14,-5.4753366,5.0849109e-05
0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,0.0028050000,1.6438863e-06,6.2018783e-05,2.6598360,5.3624535e-17,-0.015358319,3.5810639e-07,1.9117172e-14,-5.4753366,3.8985767e-05
0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,0.0030610000,1.6438863e-06,5.7907637e-05,2.6598360,5.8518520e-17,-0.016760005,3.6488427e-07,1.9117083e-14,-5.4753366,1.3597089e-05
0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,0.0033170000,1.6438863e-06,5.3437660e-05,2.6598360,6.3412481e-17,-0.018161692,3.6487900e-07,1.9116987e-14,-5.4753366,-1.4007579e-05
0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,0.0035730000,1.6438863e-06,4.8608851e-05,2.6598360,6.8306417e-17,-0.019563378,3.5752329e-07,1.9116883e-14,-5.4753366,-4.3828238e-05
0.0038290000,0.0038290000,0.0038290000,0.0038290000,0.0038290000,0.0038290000,0.0038290000,0.0038290000,0.0038290000,1.6438863e-06,4.3421211e-05,2.6598360,7.3200324e-17,-0.020965064,3.4224985e-07,1.9116771e-14,-5.4753366,-7.5864888e-05
0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,0.0040850000,1.6438863e-06,3.7874739e-05,2.6598360,7.8094202e-17,-0.022366750,3.1849137e-07,1.9116651e-14,-5.4753366,-0.00011011753
0.0043410000,0.0043410000,0.0043410000,0.0043410000,0.0043410000,0.0043410000,0.0043410000,0.0043410000,0.0043410000,1.6438863e-06,3.1969435e-05,2.6598360,8.2988049e-17,-0.023768436,2.8568058e-07,1.9116524e-14,-5.4753366,-0.00014658616
0.0045970000,0.0045970000,0.0045970000,0.0045970000,0.0045970000,0.0045970000,0.0045970000,0.0045970000,0.0045970000,1.6438863e-06,2.5705299e-05,2.6598360,8.7881862e-17,-0.025170122,2.4325016e-07,1.9116389e-14,-5.4753366,-0.00018527078
0.0048530000,0.0048530000,0.0048530000,0.0048530000,0.0048530000,0.0048530000,0.0048530000,0.0048530000,0.0048530000,1.6438863e-06,1.9082332e-05,2.6598360,9.2775639e-17,-0.026571809,1.9063284e-07,1.9116246e-14,-5.4753366,-0.00022617140
0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,0.0051090000,1.6438863e-06,1.2100533e-05,2.6598360,9.7669379e-17,-0.027973495,1.2726131e-07,1.9116095e-14,-5.4753366,-0.00026928800
0.0053650000,0.0053650000,0.0053650000,0.0053650000,0.0053650000,0.0053650000,0.0053650000,0.0053650000,0.0053650000,1.6438863e-06,4.7599028e-06,2.6598360,1.0256308e-16,-0.029375181,5.2568282e-08,1.9115937e-14,-5.4753366,-0.00031462060
0.0056210000,0.0056210000,0.0056210000,0.0056210000,0.0056210000,0.0056210000,0.0056210000,0.0056210000,0.0056210000,1.6438863e-06,-2.9395593e-06,2.6598360,1.0745674e-16,-0.030776867,-3.4013536e-08,1.9115771e-14,-5.4753366,-0.00036216918
